"COU,""Country"",""IND"",""Indicator"",""TIME"",""Time"",""Unit Code"",""Unit"",""PowerCode Code"",""PowerCode"",""Reference Period Code"",""Reference Period"",""Value"",""Flag Codes"",""Flags"""
"HUN,""Hungary"",""HPI_RPI"",""Price to rent ratio"",""2017-Q1"",""Q1-2017"",""IDX"",""Index"",""0"",""Units"",,,114.314779828645,,"
"HUN,""Hungary"",""HPI_RPI"",""Price to rent ratio"",""2017-Q2"",""Q2-2017"",""IDX"",""Index"",""0"",""Units"",,,116.077378088915,,"
"HUN,""Hungary"",""HPI_RPI"",""Price to rent ratio"",""2017-Q3"",""Q3-2017"",""IDX"",""Index"",""0"",""Units"",,,118.080313491161,,"
"HUN,""Hungary"",""HPI_RPI"",""Price to rent ratio"",""2017-Q4"",""Q4-2017"",""IDX"",""Index"",""0"",""Units"",,,120.979073550689,,"
"HUN,""Hungary"",""HPI_RPI"",""Price to rent ratio"",""2018-Q1"",""Q1-2018"",""IDX"",""Index"",""0"",""Units"",,,123.395641518399,,"
"HUN,""Hungary"",""HPI_RPI"",""Price to rent ratio"",""2018-Q2"",""Q2-2018"",""IDX"",""Index"",""0"",""Units"",,,126.17066369089,,"
"HUN,""Hungary"",""HPI_RPI"",""Price to rent ratio"",""2018-Q3"",""Q3-2018"",""IDX"",""Index"",""0"",""Units"",,,129.342464733015,,"
"HUN,""Hungary"",""HPI_RPI"",""Price to rent ratio"",""2018-Q4"",""Q4-2018"",""IDX"",""Index"",""0"",""Units"",,,132.036617172611,,"
"HUN,""Hungary"",""HPI_RPI"",""Price to rent ratio"",""2019-Q1"",""Q1-2019"",""IDX"",""Index"",""0"",""Units"",,,136.636798686469,,"
"HUN,""Hungary"",""HPI_RPI"",""Price to rent ratio"",""2019-Q2"",""Q2-2019"",""IDX"",""Index"",""0"",""Units"",,,138.110272341424,,"
"HUN,""Hungary"",""HPI_RPI"",""Price to rent ratio"",""2019-Q3"",""Q3-2019"",""IDX"",""Index"",""0"",""Units"",,,136.888889776743,,"
