Index,Ciudad,Vuelo_directo
0,Hertogenbosch,False
1,Enschede,False
2,Paris,True
3,Lille,False
4,Grenoble,False
5,Hameenlinna,False
6,Maynooth,False
7,Belfast,False
8,Worcester,False
9,Bristol,True
10,Herzliya,False
11,Orlando,False
12,Daejeon,False
13,Concepcion,False
14,Xiamen,False
